Problem Name,LeetCode ID,Difficulty,Topic,LeetCode Link
Two Sum,1,Easy,Arrays & Strings,https://leetcode.com/problems/two-sum/
Best Time to Buy and Sell Stock,121,Easy,Arrays & Strings,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/
Contains Duplicate,217,Easy,Arrays & Strings,https://leetcode.com/problems/contains-duplicate/
Product of Array Except Self,238,Medium,Arrays & Strings,https://leetcode.com/problems/product-of-array-except-self/
Maximum Subarray,53,Medium,Arrays & Strings,https://leetcode.com/problems/maximum-subarray/
Maximum Product Subarray,152,Medium,Arrays & Strings,https://leetcode.com/problems/maximum-product-subarray/
Merge Sorted Array,88,Easy,Arrays & Strings,https://leetcode.com/problems/merge-sorted-array/
Remove Duplicates from Sorted Array,26,Easy,Arrays & Strings,https://leetcode.com/problems/remove-duplicates-from-sorted-array/
Move Zeroes,283,Easy,Arrays & Strings,https://leetcode.com/problems/move-zeroes/
3Sum,15,Medium,Arrays & Strings,https://leetcode.com/problems/3sum/
Container With Most Water,11,Medium,Arrays & Strings,https://leetcode.com/problems/container-with-most-water/
Trapping Rain Water,42,Hard,Arrays & Strings,https://leetcode.com/problems/trapping-rain-water/
Longest Substring Without Repeating Characters,3,Medium,Arrays & Strings,https://leetcode.com/problems/longest-substring-without-repeating-characters/
Longest Repeating Character Replacement,424,Medium,Arrays & Strings,https://leetcode.com/problems/longest-repeating-character-replacement/
Minimum Window Substring,76,Hard,Arrays & Strings,https://leetcode.com/problems/minimum-window-substring/
Valid Anagram,242,Easy,Hashing,https://leetcode.com/problems/valid-anagram/
Group Anagrams,49,Medium,Hashing,https://leetcode.com/problems/group-anagrams/
Top K Frequent Elements,347,Medium,Hashing,https://leetcode.com/problems/top-k-frequent-elements/
Encode and Decode Strings,271,Medium,Hashing,https://leetcode.com/problems/encode-and-decode-strings/
Longest Consecutive Sequence,128,Medium,Hashing,https://leetcode.com/problems/longest-consecutive-sequence/
Find All Anagrams in a String,438,Medium,Hashing,https://leetcode.com/problems/find-all-anagrams-in-a-string/
Subarray Sum Equals K,560,Medium,Hashing,https://leetcode.com/problems/subarray-sum-equals-k/
Ransom Note,383,Easy,Hashing,https://leetcode.com/problems/ransom-note/
Happy Number,202,Easy,Hashing,https://leetcode.com/problems/happy-number/
Isomorphic Strings,205,Easy,Hashing,https://leetcode.com/problems/isomorphic-strings/
Reverse Linked List,206,Easy,Linked List,https://leetcode.com/problems/reverse-linked-list/
Linked List Cycle,141,Easy,Linked List,https://leetcode.com/problems/linked-list-cycle/
Merge Two Sorted Lists,21,Easy,Linked List,https://leetcode.com/problems/merge-two-sorted-lists/
Reorder List,143,Medium,Linked List,https://leetcode.com/problems/reorder-list/
Remove Nth Node From End of List,19,Medium,Linked List,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
Copy List with Random Pointer,138,Medium,Linked List,https://leetcode.com/problems/copy-list-with-random-pointer/
Add Two Numbers,2,Medium,Linked List,https://leetcode.com/problems/add-two-numbers/
Find the Duplicate Number,287,Medium,Linked List,https://leetcode.com/problems/find-the-duplicate-number/
